"state_name","county_fips","county_name","votes_gop_20","votes_dem_20","total_votes_20","per_gop_20","per_dem_20","per_point_diff_20","votes_dem_16","votes_gop_16","total_votes_16","per_dem_16","per_gop_16","state_abbr"
"Alabama","01001","Autauga County",19838,7503,27770,0.714368023046453,0.270183651422398,0.444184371624055,5908,18110,24661,0.239568549532,0.734357893029,"AL"
"Alabama","01003","Baldwin County",83544,24578,109679,0.761713728243328,0.22409029987509,0.537623428368238,18409,72780,94090,0.195653098098,0.773514719949,"AL"
"Alabama","01005","Barbour County",5622,4816,10518,0.534512264689104,0.457881726563986,0.0766305381251188,4848,5431,10390,0.466602502406,0.522714148219,"AL"
"Alabama","01007","Bibb County",7525,1986,9595,0.784262636789995,0.206982803543512,0.577279833246482,1874,6733,8748,0.214220393233,0.769661636946,"AL"
"Alabama","01009","Blount County",24711,2640,27588,0.895715528490648,0.0956937799043062,0.800021748586342,2150,22808,25384,0.0846990230066,0.89851875197,"AL"
"Alabama","01011","Bullock County",1146,3446,4613,0.248428354649902,0.747019293301539,-0.498590938651637,3530,1139,4701,0.750904062965,0.242288874708,"AL"
"Alabama","01013","Butler County",5458,3965,9488,0.575252951096121,0.41789629005059,0.157356661045531,3716,4891,8685,0.427864133564,0.563154864709,"AL"
"Alabama","01015","Calhoun County",35101,15216,50983,0.688484396759704,0.298452425318243,0.390031971441461,13197,32803,47376,0.278558763931,0.692396994259,"AL"
"Alabama","01017","Chambers County",8753,6365,15284,0.572690395184507,0.416448573671814,0.156241821512693,5763,7803,13778,0.418275511685,0.566337639715,"AL"
"Alabama","01019","Cherokee County",10583,1624,12301,0.860336558003414,0.132021786846598,0.728314771156817,1524,8809,10503,0.1451013996,0.838712748738,"AL"
"Alabama","01021","Chilton County",16085,3073,19310,0.832988089073019,0.159140341791818,0.673847747281201,2909,15068,18255,0.159353601753,0.825417693783,"AL"
"Alabama","01023","Choctaw County",4296,3127,7464,0.57556270096463,0.418944265809218,0.156618435155413,3109,4102,7268,0.427765547606,0.564391854706,"AL"
"Alabama","01025","Clarke County",7324,5755,13135,0.557594213932242,0.438142367719833,0.11945184621241,5712,7109,12936,0.441558441558,0.549551638837,"AL"
"Alabama","01027","Clay County",5601,1267,6930,0.808225108225108,0.182828282828283,0.625396825396825,1234,5230,6572,0.187766281193,0.795800365186,"AL"
"Alabama","01029","Cleburne County",6484,675,7227,0.897191088971911,0.0933997509339975,0.803791338037913,684,5738,6532,0.10471524801,0.878444580527,"AL"
"Alabama","01031","Coffee County",16899,5076,22275,0.758653198653199,0.227878787878788,0.530774410774411,4194,15825,20513,0.204455711013,0.771461999708,"AL"
"Alabama","01033","Colbert County",19203,8343,27886,0.688625116545937,0.299182385426379,0.389442731119558,7296,16718,24626,0.2962722326,0.678875984732,"AL"
"Alabama","01035","Conecuh County",3442,2966,6441,0.534389070020183,0.460487501940692,0.0739015680794908,3069,3413,6543,0.469050894085,0.521626165368,"AL"
"Alabama","01037","Coosa County",3631,1796,5479,0.662712173754335,0.327797043256069,0.334915130498266,1780,3376,5223,0.340800306337,0.646371816963,"AL"
"Alabama","01039","Covington County",14586,2721,17430,0.836833046471601,0.156110154905336,0.680722891566265,2379,13222,15818,0.15039828044,0.835883171071,"AL"
"Alabama","01041","Crenshaw County",4864,1700,6617,0.735076318573372,0.256914009369805,0.478162309203567,1663,4511,6252,0.265994881638,0.721529110685,"AL"
"Alabama","01043","Cullman County",36880,4478,41851,0.881221476189338,0.106998638025376,0.774222838163963,3730,32734,37278,0.100059016042,0.878105048554,"AL"
"Alabama","01045","Dale County",14303,5170,19738,0.724642820954504,0.261931300030398,0.462711520924106,4408,13798,18617,0.236772842026,0.741150561315,"AL"
"Alabama","01047","Dallas County",5524,12230,17864,0.30922525750112,0.6846171070309,-0.375391849529781,12826,5784,18730,0.684783769354,0.30880939669,"AL"
"Alabama","01049","DeKalb County",24767,4281,29356,0.843677612753781,0.145830494617795,0.697847118135986,3682,21779,26086,0.141148508779,0.834892279384,"AL"
"Alabama","01051","Elmore County",30164,10367,41030,0.735169388252498,0.252668778942237,0.482500609310261,8436,27619,36905,0.228586912343,0.748380978187,"AL"
"Alabama","01053","Escambia County",10869,4918,15910,0.683155248271527,0.309113764927718,0.374041483343809,4698,10282,15213,0.308814829422,0.67586932229,"AL"
"Alabama","01055","Etowah County",35528,11567,47728,0.744384847468991,0.242352497485753,0.502032349983238,10350,32132,43474,0.238073331186,0.739108432626,"AL"
"Alabama","01057","Fayette County",7300,1395,8766,0.832762947752681,0.159137577002053,0.673625370750627,1358,6705,8196,0.165690580771,0.818081991215,"AL"
"Alabama","01059","Franklin County",10376,2086,12578,0.824932421688663,0.165845126411194,0.659087295277469,2197,9466,11955,0.183772480134,0.791802593057,"AL"
"Alabama","01061","Geneva County",10848,1595,12545,0.864726982861698,0.127142287764049,0.737584695097648,1522,9967,11659,0.13054292821,0.854876061412,"AL"
"Alabama","01063","Greene County",875,3884,4775,0.183246073298429,0.813403141361257,-0.630157068062827,4006,838,4862,0.823940765117,0.17235705471,"AL"
"Alabama","01065","Hale County",3190,4687,7922,0.402676091895986,0.591643524362535,-0.188967432466549,4772,3172,8010,0.595755305868,0.396004993758,"AL"
"Alabama","01067","Henry County",6607,2606,9298,0.710582921058292,0.280275328027533,0.430307593030759,2286,5623,8017,0.285144068854,0.701384557815,"AL"
"Alabama","01069","Houston County",32618,12917,46173,0.706430164814935,0.279752236155329,0.426677928659606,10547,30567,42030,0.250939804901,0.727266238401,"AL"
